Timestamp,Participant Code,1.1. The training met my expectations in terms of quality.,1.2.  The trainer demonstrated expertise in the subject matter of change management.,"1.3.  The use of slides, role plays, case studies, and group discussions effectively supported the learning experience.",2.1.  The topics covered were relevant to my professional needs and challenges.,2.2.  The training provided practical tools and techniques I can apply to improve my adaptability to change. ,2.3.  The methodologies of the training helped clarify the concepts of change management.,3.1. The trainer communicated the content clearly and effectively through slides and discussions.,"3.2.  The training pace was appropriate, and the activities (role plays, case studies, discussions) were well-timed.","3.4.   The trainer encouraged participation and discussion, fostering adaptability during the session.","4.1.  The logistics (timing, venue) were well-organized. ","4.2.   The use of group activities, role plays, and case studies was well-managed and supported the learning objectives.",4.3.   The overall training environment was conducive to learning and creativity.,5.1.  The trainer demonstrated a deep understanding of change management methods.,"5.2.  The trainer effectively facilitated group discussions and role plays, ensuring everyone had an opportunity to participate.","5.3. The trainer created a positive and inclusive learning environment, encouraging creative solutions and idea sharing. ",6.1.  I feel more confident in my ability to apply change management strategies in my work.,"6.1.  Overall, I am satisfied with the training experience.",6.1.  I would recommend this training to colleagues or peers. 
12/28/2024 13:14:54,p03,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 13:42:12,IMF 101-P11,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
12/28/2024 13:58:33,IMF T-01 P13,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
12/28/2024 13:59:18,Imf-T01- P27,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 14:05:18,IMF-T01-P17,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 14:07:03,IMF-To1-  p08,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree
12/28/2024 14:11:28,P13_1,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
12/28/2024 14:20:49,P-12,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 14:25:16,IMF-T01-P019,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 14:40:09,04,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 14:42:55,IMF -T01-P10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/28/2024 14:47:00,IMF - T01 - P06,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
12/28/2024 14:48:02,P23,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
